movie_id,date,daily_box_office
6,2019-02-14,32749
6,2019-02-15,17037.31
6,2019-02-16,21845.86
6,2019-02-17,17976.42
6,2019-02-18,9362.98
6,2019-02-19,10534.9
6,2019-02-20,6184.02
6,2019-02-21,5105.87
6,2019-02-22,5694.73
6,2019-02-23,9183.96
6,2019-02-24,7005.48
6,2019-02-25,2325.95
6,2019-02-26,2069.46
6,2019-02-27,1957.37
6,2019-02-28,1795.79
6,2019-03-01,2000.69
6,2019-03-02,3746.65
6,2019-03-03,2737.07
6,2019-03-04,858.15
6,2019-03-05,797.83
6,2019-03-06,753.53
6,2019-03-07,676.21
6,2019-03-08,1042.17
6,2019-03-09,1112.89
6,2019-03-10,902.61
6,2019-03-11,305.62
6,2019-03-12,296.51
6,2019-03-13,305.14
6,2019-03-14,264.81
6,2019-03-15,238.56
6,2019-03-16,513.97
6,2019-03-17,434.39
6,2019-03-18,154.42
6,2019-03-19,143.95
6,2019-03-20,131.62
6,2019-03-21,132.29
6,2019-03-22,76.97
6,2019-03-23,203.37
6,2019-03-24,182.57
6,2019-03-25,60.89
6,2019-03-26,61.36
6,2019-03-27,57.83
6,2019-03-28,50.21
6,2019-03-29,34.07
6,2019-03-30,96.34
6,2019-03-31,85.99
6,2019-04-01,40.32
6,2019-04-02,33.95
6,2019-04-03,31.29
6,2019-04-04,25.06
6,2019-04-05,47.38
6,2019-04-06,58.98
6,2019-04-07,38.75
6,2019-04-08,12.76
6,2019-04-09,10.68
6,2019-04-10,12.61
6,2019-04-11,10.12
6,2019-04-12,9.23
6,2019-04-13,29.37
6,2019-04-14,32.08
6,2019-04-15,12
6,2019-04-16,11.09
6,2019-04-17,12.14
6,2019-04-18,13.11
6,2019-04-19,14.54
6,2019-04-20,37.31
6,2019-04-21,39.61
6,2019-04-22,14.49
6,2019-04-23,12.88
7,2023-01-22,37021.72
7,2023-01-23,37014.82
7,2023-01-24,39846.06
7,2023-01-25,43230.76
7,2023-01-26,43117.98
7,2023-01-27,38684.15
7,2023-01-28,29325.12
7,2023-01-29,21705.59
7,2023-01-30,15417.55
7,2023-01-31,11921.26
7,2023-02-01,9593.68
7,2023-02-02,8022.76
7,2023-02-03,8309.13
